id,name,category,price
134,Crimson Chest,RPG,23.37
135,Neon Gem,Casual,13.88
136,Quantum Pack,Adventure,44.72
137,Shadow Upgrade,Adventure,16.86
138,Legendary Pass,Strategy,9.53
139,Void Chest,Sports,55.88
140,Legendary Upgrade,Puzzle,15.0
141,Crimson Upgrade,Adventure,42.49
142,Mystic Skin,Puzzle,19.25
143,Solar Chest,Adventure,11.61
144,Shadow Upgrade,Casual,15.39
145,Quantum Upgrade,Sports,2.95
146,Shadow Token,Racing,11.49
147,Mystic Chest,Strategy,37.04
148,Azure Bundle,Simulation,20.09
149,Legendary Booster,RPG,25.51
150,Legendary Pass,Racing,39.02
151,Void Token,RPG,54.18
152,Epic Gem,Racing,47.61
153,Quantum Gem,Strategy,45.11
154,Void Skin,Sports,12.0
155,Legendary Token,Shooter,10.02
156,Azure Skin,Sports,8.22
157,Mystic Upgrade,Casual,26.97
158,Legendary Token,Casual,45.58
159,Crimson Token,Casual,26.4
160,Shadow Pass,Casual,28.18
161,Solar Token,Sports,71.9
162,Solar Pack,Simulation,32.33
163,Crimson Token,Strategy,18.78
164,Legendary Pack,Adventure,7.32
165,Azure Skin,Casual,52.43
166,Legendary Booster,Sports,21.75
167,Crimson Token,Puzzle,34.27
168,Mystic Token,Shooter,7.87
169,Void Skin,Racing,36.28
170,Quantum Pass,Casual,23.03
171,Solar Pass,Sports,7.17
172,Quantum Bundle,Strategy,11.75
173,Mystic Upgrade,Racing,14.17
174,Azure Booster,Strategy,15.24
175,Azure Booster,Shooter,11.71
176,Shadow Pass,Puzzle,21.63
177,Shadow Chest,Shooter,36.8
178,Solar Gem,Casual,33.3
179,Void Pack,Simulation,19.59
180,Epic Gem,Simulation,36.75
181,Neon Pass,Racing,125.55
182,Solar Upgrade,Racing,27.08
183,Solar Crate,Shooter,11.63
184,Legendary Crate,Puzzle,25.17
185,Void Token,Simulation,26.49
186,Void Gem,Puzzle,9.78
187,Legendary Pass,Sports,34.75
188,Mystic Skin,Adventure,18.23
189,Legendary Skin,Casual,44.53
190,Neon Chest,Casual,23.66
191,Crimson Upgrade,Puzzle,23.46
192,Quantum Skin,Puzzle,44.72
193,Void Chest,Shooter,17.25
194,Epic Pass,Simulation,11.71
195,Mystic Crate,Strategy,23.89
196,Quantum Token,Adventure,9.33
197,Legendary Upgrade,Casual,14.34
198,Neon Pass,Casual,47.31
199,Solar Pack,Shooter,17.45
200,Crimson Bundle,Casual,29.11
201,Crimson Gem,Strategy,5.92
202,Void Crate,Racing,37.14
203,Mystic Booster,Racing,14.52
204,Shadow Gem,Casual,17.04
205,Quantum Upgrade,Shooter,43.35
206,Epic Upgrade,Strategy,27.45
207,Azure Token,Puzzle,22.58
208,Crimson Pack,RPG,26.37
209,Neon Token,Shooter,34.81
210,Quantum Gem,Puzzle,22.95
211,Mystic Gem,Casual,27.15
212,Mystic Pass,Shooter,11.02
213,Mystic Token,Simulation,14.3
214,Azure Gem,Casual,15.15
215,Epic Gem,Shooter,10.77
216,Azure Token,RPG,28.82
217,Quantum Bundle,Simulation,42.72
218,Crimson Skin,Sports,29.38
219,Shadow Bundle,Puzzle,34.85
220,Shadow Booster,Sports,40.29
221,Azure Booster,Shooter,20.7
222,Neon Token,Sports,19.01
223,Azure Skin,Shooter,50.78
224,Epic Pass,Strategy,11.48
225,Crimson Token,Adventure,29.68
226,Azure Pack,Simulation,27.99
227,Void Upgrade,Adventure,13.01
228,Neon Token,Shooter,51.82
229,Void Booster,Racing,54.65
230,Solar Chest,RPG,42.01
231,Crimson Crate,Puzzle,28.91
232,Epic Pack,RPG,20.82
233,Neon Booster,Racing,26.91
234,Void Token,RPG,67.96
235,Mystic Token,Sports,27.26
236,Mystic Crate,Sports,21.76
237,Shadow Gem,Puzzle,12.89
238,Void Booster,Shooter,18.2
239,Azure Bundle,Puzzle,19.19
240,Azure Gem,Strategy,29.9
241,Mystic Chest,Shooter,57.97
242,Azure Gem,Sports,37.9
243,Void Gem,RPG,15.89
244,Legendary Chest,Puzzle,18.59
245,Mystic Gem,Adventure,15.08
246,Legendary Pack,Simulation,42.43
247,Solar Booster,RPG,56.58
248,Legendary Booster,Sports,32.04
249,Azure Gem,Strategy,25.77
250,Mystic Bundle,Sports,13.13
251,Crimson Token,RPG,17.43
252,Crimson Gem,Puzzle,31.73
253,Solar Token,Racing,22.1
254,Solar Pack,Shooter,18.54
255,Mystic Skin,Shooter,18.3
256,Azure Pass,Puzzle,34.87
257,Neon Booster,Strategy,28.94
258,Legendary Upgrade,RPG,9.04
259,Legendary Bundle,Sports,18.43
260,Quantum Token,Adventure,32.43
261,Quantum Bundle,Adventure,13.4
262,Shadow Booster,Strategy,13.81
263,Azure Skin,Shooter,55.65
264,Azure Pack,Adventure,97.72
265,Legendary Gem,Racing,40.56
266,Quantum Crate,Racing,20.76
267,Shadow Gem,Simulation,26.6
268,Neon Bundle,Shooter,64.26
269,Shadow Pack,RPG,9.41
270,Solar Booster,Simulation,39.36
271,Epic Bundle,RPG,47.32
272,Neon Crate,Puzzle,31.88
273,Epic Token,Simulation,12.93
274,Crimson Gem,Racing,31.54
275,Epic Upgrade,Sports,68.81
276,Azure Chest,Shooter,31.68
277,Crimson Booster,Shooter,21.28
278,Crimson Crate,Racing,66.36
279,Crimson Skin,Simulation,21.85
280,Azure Token,Casual,15.44
281,Azure Token,Casual,36.16
282,Neon Bundle,Casual,18.42
283,Crimson Crate,Strategy,7.54
284,Shadow Pack,Sports,19.8
285,Void Chest,RPG,22.62
286,Legendary Chest,Strategy,54.61
287,Epic Booster,Simulation,14.92
288,Void Gem,Casual,48.91
289,Neon Crate,Sports,27.54
290,Legendary Booster,Simulation,10.04
291,Neon Pass,Adventure,12.58
292,Solar Gem,Casual,41.81
293,Legendary Gem,Strategy,18.14
294,Epic Upgrade,RPG,17.25
295,Epic Pack,Sports,18.29
296,Void Crate,RPG,42.13
297,Azure Pass,Adventure,19.39
298,Void Upgrade,Simulation,24.53
299,Neon Crate,RPG,26.93
300,Quantum Skin,Simulation,9.17
301,Mystic Bundle,Sports,40.36
302,Shadow Gem,Shooter,20.07
303,Neon Bundle,Adventure,67.04
304,Crimson Bundle,Shooter,28.86
305,Azure Token,Sports,29.63
306,Legendary Booster,Strategy,25.7
307,Crimson Chest,Adventure,8.98
308,Azure Pass,Racing,21.84
309,Legendary Pass,Sports,22.08
310,Azure Upgrade,Casual,17.29
311,Quantum Chest,Sports,24.43
312,Azure Skin,Sports,16.09
313,Legendary Chest,Racing,21.6
314,Shadow Token,Puzzle,26.31
315,Neon Pack,Puzzle,35.13
316,Quantum Chest,Puzzle,27.65
317,Quantum Skin,Puzzle,27.33
318,Shadow Skin,Puzzle,51.73
319,Shadow Crate,RPG,35.41
320,Legendary Upgrade,RPG,16.85
321,Mystic Bundle,Simulation,19.74
322,Neon Crate,Puzzle,7.88
323,Neon Booster,Shooter,52.75
324,Solar Bundle,Sports,19.87
325,Azure Gem,Sports,14.51
326,Void Token,Strategy,17.99
327,Crimson Crate,Casual,37.19
328,Mystic Pack,Strategy,26.89
329,Solar Token,Sports,11.01
330,Mystic Pack,Shooter,10.22
331,Shadow Token,Simulation,56.09
332,Azure Chest,RPG,15.37
333,Neon Skin,Strategy,19.36
334,Legendary Booster,RPG,33.59
335,Epic Pack,Puzzle,11.8
336,Epic Bundle,Strategy,15.78
337,Solar Gem,Puzzle,14.18
338,Void Upgrade,Adventure,46.91
339,Shadow Crate,Puzzle,26.37
340,Shadow Gem,Simulation,23.99
341,Azure Skin,Casual,15.12
342,Legendary Gem,Strategy,109.02
343,Epic Gem,Strategy,15.71
344,Legendary Token,RPG,10.99
345,Quantum Token,Puzzle,17.82
346,Epic Skin,Simulation,17.56
347,Epic Chest,RPG,21.68
348,Azure Skin,Racing,41.23
349,Solar Token,Sports,71.38
350,Solar Token,Sports,59.84
351,Epic Upgrade,Strategy,7.2
352,Neon Pack,Strategy,25.42
353,Void Chest,RPG,28.17
354,Void Booster,Strategy,23.41
355,Crimson Booster,Strategy,29.46
356,Epic Token,Casual,51.08
357,Legendary Gem,RPG,22.81
358,Crimson Bundle,Adventure,14.59
359,Azure Gem,RPG,25.14
360,Solar Token,Adventure,4.66
361,Mystic Pack,Strategy,46.55
362,Neon Pass,Strategy,18.32
363,Shadow Gem,Sports,42.02
364,Solar Bundle,Adventure,24.87
365,Crimson Gem,Puzzle,23.12
366,Legendary Upgrade,Casual,36.27
367,Legendary Pack,Shooter,39.17
368,Solar Gem,RPG,16.45
369,Mystic Token,Racing,20.29
370,Crimson Skin,Puzzle,24.89
371,Crimson Booster,Puzzle,36.2
372,Crimson Token,Shooter,18.79
373,Void Pack,Shooter,14.98
374,Shadow Gem,Racing,100.29
375,Mystic Pass,Shooter,16.68
376,Void Upgrade,Strategy,22.32
377,Neon Gem,Strategy,40.32
378,Epic Upgrade,Simulation,25.06
379,Solar Booster,Racing,11.17
380,Quantum Upgrade,Puzzle,57.18
381,Epic Crate,Casual,37.9
382,Shadow Bundle,Adventure,62.45
383,Shadow Chest,Strategy,10.97
384,Solar Crate,Puzzle,17.68
385,Shadow Crate,Strategy,50.86
386,Quantum Chest,Simulation,8.69
387,Neon Token,RPG,13.67
388,Quantum Upgrade,Sports,83.31
389,Quantum Bundle,Puzzle,26.95
390,Crimson Skin,Racing,24.48
391,Epic Gem,Sports,15.29
392,Mystic Crate,Strategy,54.94
393,Solar Pack,RPG,40.65
394,Mystic Chest,Adventure,26.45
395,Solar Skin,Sports,63.03
396,Crimson Bundle,Puzzle,10.27
397,Azure Skin,Casual,29.67
398,Solar Bundle,Adventure,16.1
399,Azure Booster,Adventure,98.41
400,Mystic Booster,RPG,27.45
401,Void Token,Adventure,9.7
402,Azure Upgrade,Puzzle,20.67
403,Legendary Pack,Adventure,12.72
404,Epic Bundle,Casual,35.55
405,Mystic Gem,Strategy,34.73
406,Quantum Upgrade,Strategy,14.63
407,Neon Chest,Shooter,20.65
408,Mystic Pack,Puzzle,14.44
409,Shadow Pass,Sports,28.25
410,Legendary Pack,RPG,15.42
411,Solar Pass,Sports,22.27
412,Shadow Pack,Racing,30.07
413,Solar Chest,Racing,26.14
414,Epic Crate,Puzzle,19.88
415,Quantum Booster,Puzzle,30.44
416,Shadow Chest,Strategy,7.16
417,Void Gem,Strategy,21.57
418,Crimson Bundle,Sports,15.96
419,Void Token,Simulation,18.94
420,Crimson Skin,Puzzle,38.93
421,Solar Upgrade,Racing,51.87
422,Neon Crate,RPG,40.06
423,Neon Pack,Puzzle,44.01
424,Azure Upgrade,Adventure,15.18
425,Void Booster,Puzzle,7.13
426,Shadow Token,Puzzle,29.81
427,Solar Chest,Racing,15.78
428,Shadow Chest,Puzzle,14.75
429,Void Pack,Puzzle,14.75
430,Quantum Skin,Sports,10.68
431,Quantum Gem,Strategy,35.0
432,Neon Gem,Casual,39.9
433,Legendary Chest,Sports,9.7
434,Crimson Pack,Sports,46.08
435,Epic Pack,Sports,19.93
436,Legendary Crate,Casual,38.11
437,Void Token,Simulation,12.6
438,Void Pass,Shooter,67.95
439,Crimson Upgrade,Puzzle,14.34
440,Legendary Chest,Adventure,19.38
441,Solar Chest,Racing,20.32
442,Quantum Skin,Shooter,20.65
443,Epic Chest,Simulation,33.26
444,Solar Chest,Adventure,7.52
445,Void Pass,Casual,17.26
446,Azure Crate,Casual,39.08
447,Void Crate,RPG,17.94
448,Crimson Skin,Strategy,9.01
449,Quantum Token,Shooter,14.38
450,Azure Skin,Strategy,51.14
451,Azure Upgrade,Simulation,25.28
452,Quantum Booster,Shooter,23.82
453,Shadow Bundle,Simulation,11.9
454,Crimson Booster,Sports,42.25
455,Solar Chest,Shooter,32.08
456,Void Pass,Strategy,19.9
457,Shadow Pack,Casual,41.05
458,Quantum Gem,Sports,12.55
459,Shadow Skin,Strategy,38.81
460,Azure Skin,Racing,18.15
461,Legendary Booster,Simulation,22.47
462,Solar Gem,Sports,11.72
463,Mystic Chest,Sports,20.37
464,Quantum Bundle,Casual,11.68
465,Neon Upgrade,Casual,16.45
466,Solar Booster,Puzzle,13.06
467,Void Upgrade,Puzzle,48.23
468,Shadow Token,RPG,24.07
469,Void Pass,Sports,27.67
470,Mystic Crate,Sports,23.85
471,Shadow Skin,Puzzle,26.37
472,Azure Pack,RPG,18.93
473,Neon Upgrade,Simulation,60.99
474,Void Pack,Shooter,11.19
475,Void Skin,Puzzle,27.45
476,Crimson Skin,Strategy,31.21
477,Mystic Gem,Simulation,17.15
478,Epic Pass,Strategy,37.99
479,Void Pack,RPG,19.94
480,Void Gem,Puzzle,8.32
481,Solar Pack,Casual,23.98
482,Mystic Crate,Puzzle,18.82
483,Quantum Crate,RPG,16.13
484,Mystic Pass,Sports,56.49
485,Neon Gem,Racing,11.48
486,Neon Booster,Casual,37.56
487,Legendary Skin,Simulation,78.42
488,Neon Upgrade,Casual,112.57
489,Void Booster,Simulation,85.49
490,Shadow Gem,Casual,19.28
491,Shadow Skin,Sports,26.75
492,Azure Gem,Sports,16.01
493,Crimson Token,Strategy,50.53
494,Crimson Crate,Casual,68.77
495,Epic Crate,Casual,14.92
496,Mystic Gem,Casual,53.26
497,Neon Pass,Adventure,43.36
498,Epic Upgrade,Shooter,50.65
499,Neon Pass,Puzzle,23.88
500,Neon Skin,Simulation,11.63
501,Neon Token,Sports,23.7
502,Neon Crate,Adventure,55.18
503,Mystic Skin,Racing,33.45
504,Epic Pass,Simulation,24.65
505,Void Upgrade,Racing,39.8
506,Solar Pack,Simulation,13.59
507,Crimson Pass,Simulation,29.78
508,Quantum Bundle,Casual,25.98
509,Solar Crate,RPG,14.0
510,Neon Pass,Puzzle,27.06
511,Shadow Gem,Adventure,15.44
512,Mystic Token,Adventure,9.66
513,Mystic Crate,Strategy,46.33
514,Void Upgrade,Sports,14.89
515,Crimson Gem,Simulation,22.97
516,Quantum Gem,Strategy,53.46
517,Crimson Skin,Casual,8.61
518,Legendary Upgrade,Puzzle,63.65
519,Void Crate,Strategy,13.21
520,Shadow Chest,Racing,17.81
521,Crimson Booster,Strategy,40.31
522,Azure Booster,RPG,20.54
523,Azure Pack,Sports,19.62
524,Mystic Upgrade,Puzzle,55.37
525,Neon Pack,Strategy,33.28
526,Legendary Bundle,Puzzle,32.12
527,Neon Pass,Racing,23.57
528,Mystic Pack,Shooter,25.98
529,Crimson Upgrade,RPG,9.76
530,Solar Gem,Adventure,23.82
531,Epic Pass,Puzzle,54.58
532,Shadow Skin,Shooter,10.75
533,Legendary Booster,Shooter,37.98
534,Solar Gem,Shooter,25.77
535,Shadow Gem,Racing,13.84
536,Neon Upgrade,Racing,7.02
537,Legendary Crate,Simulation,43.23
538,Epic Crate,Racing,44.32
539,Azure Gem,Casual,9.1
540,Mystic Gem,RPG,20.06
541,Azure Pack,Casual,37.12
542,Shadow Upgrade,Strategy,60.92
543,Solar Crate,Racing,55.69
544,Mystic Chest,Puzzle,21.68
545,Solar Token,Casual,30.49
546,Shadow Crate,Sports,25.94
547,Crimson Upgrade,Simulation,27.39
548,Mystic Skin,Sports,52.17
549,Solar Pass,Shooter,29.91
550,Void Skin,Adventure,91.63
551,Neon Booster,RPG,80.1
552,Mystic Pack,Sports,17.48
553,Solar Bundle,Sports,15.6
554,Shadow Skin,Adventure,13.88
555,Shadow Crate,Strategy,31.31
556,Crimson Skin,RPG,10.95
557,Crimson Gem,Strategy,17.5
558,Void Pass,Strategy,16.72
559,Void Upgrade,Simulation,109.41
560,Mystic Crate,RPG,17.63
561,Void Token,Racing,7.85
562,Mystic Pass,Puzzle,23.74
563,Shadow Upgrade,Sports,14.62
564,Legendary Bundle,Puzzle,34.45
565,Legendary Skin,RPG,22.5
566,Legendary Pass,Shooter,27.52
567,Void Crate,Racing,9.25
568,Legendary Bundle,Adventure,20.97
569,Azure Booster,Sports,49.91
570,Quantum Booster,Shooter,18.54
571,Neon Chest,Adventure,25.54
572,Shadow Token,Racing,30.3
573,Mystic Skin,Simulation,16.78
574,Epic Skin,RPG,12.09
575,Legendary Crate,Adventure,113.2
576,Neon Upgrade,Sports,36.13
577,Mystic Pass,Casual,22.78
578,Solar Chest,RPG,54.8
579,Void Pass,Puzzle,28.29
580,Neon Booster,RPG,38.47
581,Crimson Gem,Simulation,35.33
582,Neon Pass,Sports,44.59
583,Shadow Upgrade,RPG,12.71
584,Epic Skin,Racing,22.62
585,Shadow Gem,Simulation,42.86
586,Epic Token,Simulation,24.51
587,Mystic Pack,Strategy,14.18
588,Void Skin,Strategy,21.31
589,Mystic Booster,Racing,25.04
590,Crimson Bundle,Shooter,9.76
591,Crimson Gem,Sports,63.53
592,Void Crate,Racing,11.86
593,Crimson Skin,Puzzle,49.86
594,Quantum Pack,RPG,63.69
595,Neon Crate,Shooter,15.01
596,Legendary Upgrade,Puzzle,39.44
597,Mystic Upgrade,Simulation,37.34
598,Azure Chest,Simulation,23.53
599,Azure Pass,Adventure,58.21
600,Shadow Bundle,Simulation,36.21
601,Epic Chest,Sports,31.62
602,Void Chest,Sports,67.21
603,Azure Upgrade,Shooter,38.94
604,Legendary Skin,Strategy,25.04
605,Neon Chest,RPG,12.61
606,Crimson Token,Puzzle,24.51
607,Solar Gem,Shooter,10.02
608,Legendary Chest,Puzzle,52.6
609,Legendary Bundle,Racing,22.67
610,Legendary Skin,Racing,19.45
611,Void Bundle,Racing,43.65
612,Void Booster,RPG,22.85
613,Neon Skin,Sports,64.97
614,Azure Chest,Puzzle,16.71
615,Neon Bundle,Puzzle,19.42
616,Legendary Bundle,Simulation,37.18
617,Shadow Skin,Racing,105.85
618,Quantum Upgrade,Casual,28.08
619,Azure Token,Sports,12.7
620,Epic Pass,Puzzle,6.43
621,Solar Pack,Strategy,42.53
622,Void Pack,Puzzle,16.23
623,Legendary Pass,Simulation,28.8
624,Legendary Booster,Casual,10.69
625,Legendary Gem,RPG,77.62
626,Shadow Bundle,Sports,9.54
627,Solar Pack,Shooter,6.92
628,Quantum Token,Racing,39.21
629,Quantum Bundle,Casual,8.71
630,Quantum Upgrade,RPG,39.72
631,Shadow Chest,Shooter,26.41
632,Mystic Bundle,Strategy,6.81
633,Void Pack,Racing,53.41
634,Quantum Skin,Casual,20.4
635,Solar Booster,RPG,17.9
636,Legendary Booster,Sports,28.39
637,Legendary Gem,Adventure,24.17
638,Crimson Token,Shooter,18.45
639,Epic Token,RPG,12.52
640,Shadow Bundle,Shooter,19.61
641,Neon Gem,Strategy,12.8
642,Void Gem,RPG,17.88
643,Legendary Crate,Adventure,36.25
644,Quantum Skin,Strategy,12.03
645,Epic Bundle,Shooter,20.13
646,Epic Booster,Simulation,23.89
647,Quantum Crate,RPG,21.0
648,Crimson Gem,Shooter,16.96
649,Quantum Bundle,Racing,29.04
650,Epic Token,Simulation,40.21
651,Mystic Bundle,Strategy,97.65
652,Mystic Gem,Strategy,38.24
653,Solar Chest,Strategy,10.08
654,Legendary Token,Puzzle,36.23
655,Void Upgrade,Racing,13.8
656,Epic Upgrade,Shooter,26.76
657,Void Token,Puzzle,21.77
658,Quantum Token,RPG,19.12
659,Crimson Pack,Sports,41.69
660,Solar Gem,Adventure,16.21
661,Mystic Chest,Strategy,68.25
662,Epic Pass,Racing,17.0
663,Legendary Bundle,Racing,45.86
664,Solar Token,Shooter,31.38
665,Epic Chest,RPG,47.0
666,Epic Chest,Strategy,22.47
667,Legendary Token,Shooter,39.84
668,Azure Token,Simulation,35.21
669,Azure Crate,Strategy,15.27
670,Epic Gem,Simulation,14.32
671,Crimson Token,Adventure,33.76
672,Mystic Upgrade,Sports,31.32
673,Crimson Crate,Puzzle,16.94
674,Crimson Pass,Puzzle,34.66
675,Solar Bundle,Simulation,16.02
676,Epic Chest,Adventure,35.19
677,Epic Upgrade,Sports,16.47
678,Mystic Chest,Racing,15.56
679,Solar Crate,Sports,23.3
680,Azure Crate,Casual,21.65
681,Solar Crate,Casual,17.56
682,Legendary Pass,Simulation,35.24
683,Shadow Chest,Shooter,39.05
684,Shadow Skin,Adventure,14.2
685,Shadow Crate,Casual,16.65
686,Neon Crate,Simulation,61.22
687,Solar Bundle,Sports,19.18
688,Neon Pass,Puzzle,45.78
689,Epic Skin,Strategy,15.92
690,Quantum Upgrade,Casual,15.47
691,Crimson Chest,Sports,16.02
692,Void Chest,Sports,17.82
693,Mystic Booster,Strategy,38.06
694,Neon Token,Casual,15.74
695,Azure Skin,Shooter,22.24
696,Legendary Token,Sports,12.6
697,Shadow Gem,RPG,20.9
698,Crimson Crate,Sports,12.74
699,Crimson Booster,Sports,18.7
700,Azure Pack,Adventure,14.55
701,Crimson Gem,Casual,27.76
702,Shadow Gem,RPG,20.53
703,Void Bundle,Shooter,28.21
704,Shadow Token,RPG,63.82
705,Quantum Chest,RPG,19.96
706,Epic Skin,Shooter,21.61
707,Void Token,Strategy,29.98
708,Neon Pack,Casual,52.61
709,Solar Skin,RPG,22.35
710,Legendary Gem,Casual,4.54
711,Neon Chest,Racing,11.89
712,Crimson Gem,Casual,6.37
713,Epic Token,Shooter,34.25
714,Neon Crate,Sports,13.49
715,Void Chest,Casual,14.51
716,Azure Pass,Strategy,12.26
717,Legendary Gem,Strategy,30.09
718,Solar Booster,Adventure,24.43
719,Legendary Gem,Sports,11.54
720,Shadow Chest,Casual,21.84
721,Solar Gem,RPG,12.6
722,Mystic Pass,Puzzle,35.39
723,Crimson Bundle,Racing,29.98
724,Void Token,Simulation,34.54
725,Epic Chest,Racing,22.83
726,Crimson Gem,RPG,21.3
727,Azure Pack,Strategy,38.37
728,Crimson Pack,Simulation,19.23
729,Crimson Crate,Puzzle,28.39
730,Solar Bundle,Casual,27.94
731,Neon Booster,Simulation,25.22
732,Void Bundle,Shooter,15.77
733,Mystic Skin,Shooter,4.79
734,Crimson Bundle,Simulation,88.03
735,Crimson Booster,Casual,29.96
736,Crimson Pass,Racing,20.95
737,Solar Pack,Sports,22.19
738,Void Bundle,Shooter,13.27
739,Crimson Gem,Casual,10.27
740,Solar Upgrade,Simulation,34.35
741,Void Pack,RPG,43.49
742,Mystic Gem,Racing,14.33
743,Void Bundle,Puzzle,35.46
744,Epic Upgrade,RPG,42.48
745,Legendary Bundle,Simulation,26.22
746,Epic Chest,Casual,8.47
747,Shadow Chest,Shooter,14.24
748,Mystic Chest,Strategy,19.49
749,Quantum Token,Adventure,15.87
750,Mystic Crate,Simulation,40.82
751,Solar Upgrade,Simulation,56.91
752,Epic Upgrade,Simulation,43.07
753,Epic Chest,Shooter,58.63
754,Quantum Pass,Simulation,15.4
755,Shadow Pass,RPG,40.03
756,Mystic Token,Casual,37.35
757,Epic Gem,Casual,22.4
758,Epic Gem,Sports,55.11
759,Mystic Gem,Strategy,11.84
760,Shadow Skin,Sports,9.88
761,Quantum Gem,Adventure,7.83
762,Solar Crate,Simulation,19.07
763,Azure Crate,Puzzle,35.59
764,Azure Token,Simulation,15.78
